Tone,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1,0,0,200.45,300.68,300.68,300.68,275.63,275.63,25.057,25.057
1,20.417,0,0,20.417,224.58,285.83,326.67,326.67,285.83,20.417
1,18.223,18.223,18.223,309.79,291.57,291.57,273.35,273.35,291.57,18.223
1,20.512,0,0,307.67,328.19,328.19,328.19,328.19,307.67,287.16
1,20.417,0,0,285.83,285.83,265.42,265.42,245,265.42,20.417
1,0,0,0,17.782,17.782,302.3,17.782,17.782,266.73,17.782
1,19.009,19.009,19.009,38.017,285.13,323.15,323.15,323.15,285.13,285.13
1,246.14,20.512,20.512,287.16,307.67,307.67,307.67,307.67,287.16,20.512
1,238.97,21.724,21.724,282.41,304.14,21.724,304.14,304.14,21.724,21.724
1,273,231,252,273,294,21,294,231,231,273
1,18.927,264.98,302.83,283.91,302.83,283.91,264.98,246.05,227.12,18.927
1,18.074,216.89,289.18,307.25,325.33,325.33,307.25,18.074,289.18,18.074
1,227.75,20.704,20.704,289.86,248.45,20.704,289.86,289.86,20.704,20.704
1,246.24,268.63,291.02,268.63,313.4,291.02,291.02,268.63,313.4,22.386
1,253.67,273.19,312.21,312.21,273.19,273.19,253.67,253.67,19.513,273.19
1,233.47,233.47,311.29,285.35,285.35,233.47,259.41,259.41,285.35,25.941
1,250.35,211.83,288.86,288.86,308.12,308.12,308.12,308.12,327.38,19.258
1,22.161,243.77,288.09,288.09,288.09,288.09,310.25,332.41,22.161,22.161
1,259.41,259.41,282.99,330.16,330.16,306.58,306.58,330.16,282.99,259.41
1,263.64,263.64,335.54,335.54,311.58,335.54,335.54,23.967,23.967,287.61
1,248.18,267.27,286.36,324.55,305.45,286.36,286.36,286.36,19.091,19.091
1,273,252,273,273,294,315,294,252,294,21
1,17.431,244.03,244.03,278.89,296.32,296.32,278.89,261.46,296.32,17.431
1,22.5,22.5,247.5,292.5,315,315,337.5,292.5,22.5,22.5
1,232.11,232.11,278.53,255.32,278.53,255.32,232.11,232.11,255.32,278.53
1,235.49,235.49,256.89,278.3,299.71,21.408,21.408,321.12,21.408,21.408
1,275.63,254.42,254.42,254.42,296.83,339.23,296.83,296.83,21.202,21.202
1,242.31,290.77,290.77,290.77,339.23,339.23,339.23,339.23,315,290.77
1,254.8,235.2,254.8,274.4,274.4,274.4,274.4,294,294,19.6
1,258.24,238.38,19.865,278.11,297.97,19.865,278.11,19.865,19.865,19.865
1,16.642,266.26,266.26,316.19,282.91,282.91,266.26,266.26,16.642,0
1,17.854,267.81,249.96,17.854,285.67,17.854,17.854,285.67,249.96,17.854
1,223.95,17.227,241.17,292.85,275.63,292.85,17.227,17.227,292.85,310.08
1,247.75,297.3,247.75,297.3,330.34,297.3,297.3,313.82,280.79,16.517
1,18.452,18.452,18.452,258.33,295.23,332.13,295.23,276.78,18.452,18.452
1,229.91,271.71,229.91,313.51,271.71,250.81,313.51,250.81,334.41,271.71
1,239.87,295.23,295.23,295.23,295.23,313.68,276.78,239.87,276.78,313.68
1,22.85,297.05,297.05,319.9,342.75,319.9,297.05,319.9,22.85,22.85
1,272.43,255.41,221.35,289.46,272.43,17.027,306.49,323.51,272.43,17.027
1,242.55,220.5,286.65,286.65,264.6,264.6,264.6,286.65,264.6,286.65
1,267.9,288.5,267.9,267.9,247.29,247.29,20.607,20.607,309.11,20.607
1,240.55,240.55,220.5,280.64,320.73,340.77,320.73,300.68,20.045,20.045
1,209,229.91,250.81,250.81,271.71,271.71,271.71,271.71,271.71,313.51
1,217.53,217.53,237.31,276.86,276.86,257.09,257.09,316.41,296.64,19.776
1,234.96,234.96,271.11,325.33,325.33,325.33,307.25,307.25,289.18,253.03
1,225.63,184.6,266.65,287.16,307.67,328.19,307.67,307.67,287.16,246.14
1,252.56,213.7,252.56,291.41,291.41,310.84,271.98,252.56,19.427,19.427
1,233.05,215.12,197.2,233.05,268.9,322.68,322.68,250.98,250.98,250.98
1,231.09,231.09,288.86,308.12,308.12,308.12,269.61,269.61,288.86,269.61
